condsFile,square,loc1,loc2,corrAns,trialsNum,trialNum,taskLoop.thisRepN,taskLoop.thisTrialN,taskLoop.thisN,taskLoop.thisIndex,trialsLoop.thisRepN,trialsLoop.thisTrialN,trialsLoop.thisN,trialsLoop.thisIndex,instrText.started,instrText.stopped,instrImg.started,instrImg.stopped,trialResp.keys,trialResp.started,trialResp.stopped,trialGrid.started,trialGrid.stopped,trialSquare.started,trialSquare.stopped,trialFix.started,trialFix.stopped,greenGrid.started,greenGrid.stopped,redGrid.started,redGrid.stopped,trialCheck.started,trialCheck.stopped,trialResp.rt,participant,taskVer,date,expName,psychopyVersion,frameRate,
nBack1Cond.xlsx,6,0.2,0.0,None,1,1,0,0,0,0,0,0,0,0,14.961966100148857,None,14.961966100148857,None,None,18.97470619995147,None,18.97470619995147,None,18.97470619995147,19.98901729984209,19.933918999973685,None,18.97470619995147,None,18.97470619995147,None,18.97470619995147,None,,a,1,2020_Jul_13_1544,nBackNewAlpha3,2020.1.3,60.00780110148727,
nBack1Cond.xlsx,6,0.2,0.0,space,1,2,0,0,0,0,0,1,1,1,,,,,space,20.92144070006907,None,20.92144070006907,None,20.92144070006907,21.937334700021893,21.90149120008573,None,20.92144070006907,None,20.92144070006907,None,20.92144070006907,None,0.49746800027787685,a,1,2020_Jul_13_1544,nBackNewAlpha3,2020.1.3,60.00780110148727,
nBack1Cond.xlsx,2,0.0,0.2,None,1,3,0,0,0,0,0,2,2,2,,,,,None,22.915469400119036,None,22.915469400119036,None,22.915469400119036,23.92363950004801,23.887829000130296,24.89432099973783,22.915469400119036,None,22.915469400119036,None,22.915469400119036,None,,a,1,2020_Jul_13_1544,nBackNewAlpha3,2020.1.3,60.00780110148727,
nBack1Cond.xlsx,9,0.2,-0.2,None,1,4,0,0,0,0,0,3,3,3,,,,,None,24.91584359994158,None,24.91584359994158,None,24.91584359994158,25.932374599855393,25.894940299913287,None,24.91584359994158,None,24.91584359994158,None,24.91584359994158,None,,a,1,2020_Jul_13_1544,nBackNewAlpha3,2020.1.3,60.00780110148727,
nBack1Cond.xlsx,9,0.2,-0.2,space,1,5,0,0,0,0,0,4,4,4,,,,,space,26.907737699802965,None,26.907737699802965,None,26.907737699802965,27.925962999928743,27.888182799797505,28.90144529985264,26.907737699802965,None,26.907737699802965,None,26.907737699802965,None,1.943164899945259,a,1,2020_Jul_13_1544,nBackNewAlpha3,2020.1.3,60.00780110148727,
nBack1Cond.xlsx,6,0.2,0.0,None,1,6,0,0,0,0,0,5,5,5,,,,,None,28.92089289985597,None,28.92089289985597,None,28.92089289985597,29.93581959977746,29.90077849989757,None,28.92089289985597,None,28.92089289985597,None,28.92089289985597,None,,a,1,2020_Jul_13_1544,nBackNewAlpha3,2020.1.3,60.00780110148727,
nBack1Cond.xlsx,4,-0.2,0.0,None,1,7,0,0,0,0,0,6,6,6,,,,,None,30.90729509992525,None,30.90729509992525,None,30.90729509992525,31.916536099743098,31.881381900049746,32.897563099861145,30.90729509992525,None,30.90729509992525,None,30.90729509992525,None,,a,1,2020_Jul_13_1544,nBackNewAlpha3,2020.1.3,60.00780110148727,
nBack1Cond.xlsx,3,0.2,0.2,None,1,8,0,0,0,0,0,7,7,7,,,,,None,32.91787979984656,None,32.91787979984656,None,32.91787979984656,33.918668100144714,33.90144159970805,None,32.91787979984656,None,32.91787979984656,None,32.91787979984656,None,,a,1,2020_Jul_13_1544,nBackNewAlpha3,2020.1.3,60.00780110148727,
nBack1Cond.xlsx,3,0.2,0.2,space,1,9,0,0,0,0,0,8,8,8,,,,,space,34.91408250015229,None,34.91408250015229,None,34.91408250015229,35.92422099970281,35.884997999761254,36.900168099906296,34.91408250015229,None,34.91408250015229,None,34.91408250015229,None,0.34534880006685853,a,1,2020_Jul_13_1544,nBackNewAlpha3,2020.1.3,60.00780110148727,
nBack1Cond.xlsx,8,0.0,-0.2,None,1,10,0,0,0,0,0,9,9,9,,,,,None,36.919831399805844,None,36.919831399805844,None,36.919831399805844,37.93092900002375,37.89469949994236,38.906868000049144,36.919831399805844,None,36.919831399805844,None,36.919831399805844,None,,a,1,2020_Jul_13_1544,nBackNewAlpha3,2020.1.3,60.00780110148727,
nBack1Cond.xlsx,1,-0.2,0.2,None,1,11,0,0,0,0,0,10,10,10,,,,,None,38.92931149993092,None,38.92931149993092,None,38.92931149993092,39.9306157999672,39.91312039969489,None,38.92931149993092,None,38.92931149993092,None,38.92931149993092,None,,a,1,2020_Jul_13_1544,nBackNewAlpha3,2020.1.3,60.00780110148727,
nBack1Cond.xlsx,2,0.0,0.2,None,1,12,0,0,0,0,0,11,11,11,,,,,None,40.92549909977242,None,40.92549909977242,None,40.92549909977242,41.92971009993926,41.909737799782306,None,40.92549909977242,None,40.92549909977242,None,40.92549909977242,None,,a,1,2020_Jul_13_1544,nBackNewAlpha3,2020.1.3,60.00780110148727,
nBack1Cond.xlsx,4,-0.2,0.0,None,1,13,0,0,0,0,0,12,12,12,,,,,None,42.90942239994183,None,42.90942239994183,None,42.90942239994183,43.916976999957114,43.88197240000591,44.89393989974633,42.90942239994183,None,42.90942239994183,None,42.90942239994183,None,,a,1,2020_Jul_13_1544,nBackNewAlpha3,2020.1.3,60.00780110148727,
nBack1Cond.xlsx,4,-0.2,0.0,space,1,14,0,0,0,0,0,13,13,13,,,,,space,44.91344740008935,None,44.91344740008935,None,44.91344740008935,45.91860570013523,45.9008345999755,None,44.91344740008935,None,44.91344740008935,None,44.91344740008935,None,0.442198000382632,a,1,2020_Jul_13_1544,nBackNewAlpha3,2020.1.3,60.00780110148727,
nBack1Cond.xlsx,8,0.0,-0.2,None,1,15,0,0,0,0,0,14,14,14,,,,,space,46.91890659974888,None,46.91890659974888,None,46.91890659974888,47.93038809997961,47.89458129974082,None,46.91890659974888,None,46.91890659974888,None,46.91890659974888,None,0.30845250003039837,a,1,2020_Jul_13_1544,nBackNewAlpha3,2020.1.3,60.00780110148727,
nBack1Cond.xlsx,5,0.0,0.0,None,1,16,0,0,0,0,0,15,15,15,,,,,None,48.91338340006769,None,48.91338340006769,None,48.91338340006769,49.922118899878114,49.90417689969763,None,48.91338340006769,None,48.91338340006769,None,48.91338340006769,None,,a,1,2020_Jul_13_1544,nBackNewAlpha3,2020.1.3,60.00780110148727,
nBack1Cond.xlsx,5,0.0,0.0,space,1,17,0,0,0,0,0,16,16,16,,,,,space,50.913754699751735,None,50.913754699751735,None,50.913754699751735,51.91440699994564,51.89677869994193,None,50.913754699751735,None,50.913754699751735,None,50.913754699751735,None,0.5852263001725078,a,1,2020_Jul_13_1544,nBackNewAlpha3,2020.1.3,60.00780110148727,
